reviews ,overall_rating,review_date,trip_type,room_rating,service_rating,location_rating,platform
"We booked this 4-star hotel expecting a comfortable and high-quality stay, but our experience was extremely disappointing. What we encountered was completely unacceptable and far from what was promised. This hotel does not live up to the hype, and based on our experience, it should be avoided at all costs.
Upon arrival, the room appeared clean. However, we noticed the hair dryer was not working. We informed the staff and they assured us it would be replaced, but no one followed up, and we received nothing. We let that slide at the time.
The next morning, we left our room in a hurry to attend a function, leaving it messy. To our surprise, when we returned, the room had been cleanedeven though we had not requested housekeeping. The towels and bedding had been changed, and everything looked neatly arranged.
This would have been fine, except we soon discovered that one of our gold earrings was missing. It had been stored in a pouch along with a necklace, but only the earring was gone. We searched the entire room but couldnt find it. When we reported the issue to the staff, their response was shockingly indifferent. They admitted that similar incidents had happened before but offered no help, no apology, and no reassurance. The least they could have done was inform",1,Jun-25,family,3.0,1.0,3.0,google
"I had a wonderful stay for two days. The check-in process was seamless, and Mrs. Bhumika at the reception was exceptionally welcoming and professional, ensuring a smooth experience. The rooms were clean, comfortable, and well-maintained, providing a relaxing stay. The breakfast and dinner were delicious, with a great variety of options. The hospitality and service were outstanding, making my stay truly enjoyable. Highly recommended!",5,Apr-25,,5.0,5.0,4.0,google
"Had a great one-day stay here! Everything was just easy and comfortable  super smooth check-in and checkout, friendly staff, clean and cozy rooms. The food was honestly amazing too! Totally worth it. Would happily come back!",5,Jun-25,friends,5.0,5.0,5.0,google
"I had a wonderful stay at Hotel Turmeric in Erode. The check-in process was seamless and hassle-free. The breakfast spread was fantastic, offering a variety of delicious options. I was particularly impressed by Gayathri in the restaurantshe was exceptionally polite and provided excellent service. It was clear that she handled every customer with care and attention. Overall, a great experience, and I highly recommend this hotel!",5,Apr-25,friends,5.0,5.0,5.0,google
"We stayed here for a night. We had a comfortable stay. Rooms are large ,tastefully furnished,clean.staff is friendly and polite.The service is prompt and brisk.Food is exceptionally healthy and tasty.Try the broccoli soup. One of the best places I have stayed.",5,Jun-25,family,5.0,5.0,5.0,google
"We booked the so-called Presidential Suite at Turmeric Hotel in Erode, paying over ?10,000 per night, expecting at least a decent level of luxury and service. What I got instead was an infuriating, substandard experience that left me completely disgusted.
Lets start with the bathtub  a key feature of the suite  which was non-functional and started clogging within hours. For a room in this price range, this is beyond unacceptable. I immediately reported the issue to the staff including the manager, only to be met with sheer indifference and zero accountability. No follow-up. No urgency. No solution. Just blank stares and an its-not-my-problem attitude.
The service here is a joke, and the so-called luxury is nothing but a cheap façade. For a hotel that claims to be premium, they cant even manage basic maintenance or professional customer service.
Do not waste your time or money on this place. I wouldn't recommend this hotel to my worst enemy.",1,May-25,family,1.0,1.0,2.0,google
"Extremely Disappointed  Not Worth the Price
I recently stayed at the Turmeric Hotel in Erode, booking their Presidential Suite, expecting a premium experience given the steep price of over 10k per night. Unfortunately, the stay was a huge letdown.
One of the main attractions of the suite, the bathtub, was non-functional and even started clogging, which was completely unacceptable for a room in this category. Whats worse, when I brought this to the attention of the staff  including the manager  there was no sense of urgency or accountability. The response was indifferent at best, and the issue was never resolved during my stay.
For a hotel that claims to offer luxury, basic functionality and service standards were shockingly poor. I would not recommend this property to anyone.",1,May-25,solo,1.0,1.0,1.0,google
"Stayed for one night.
Pros:
Reaching to hotel location was hassle free as connectivity to highway was good. Food was good. Breakfast buffet had ample options. Reception staff made the check in/check out process really smooth. Room was spacious and clean. Wifi speed was good.
Cons:
Didn't really live upto the expectations for a 4 star hotel. The room service can definitely be improved as we had to call thrice for every thing. The AC in the room was not working and upon complaining, they first sent a staff member who (now I know) had no clue about ACs and couldn't help. Then upon complaining again, they offered us a different room which again had the same issue i.e. the AC failed to cool down the room. We had to then somehow managed with the initial room assigned. The TV given was a smart TV but it wasn't possible to connect it to Wifi.",4,Jun-25,family,3.0,2.0,5.0,google
"Here is the pic of the clogged bathroom at a presidential suite.
Absolutely Pathetic Experience  Avoid at All Costs
If youre even considering booking this place, especially for something important  RUN. We paid over ?10,000 for a Presidential Suite and were greeted with a clogged, filthy bathroom that we had to clean ourselves after every maintenance person visited to check. Yes, you read that right  we cleaned it. So much for luxury.
When we raised this with the so-called maintenance manager, the response was laughably dismissive: ""This is the first time someones complained like this."" Excuse me? Thats your excuse? No apology, no urgency, no action.
The hotel staff, across hierarchy from manager to anybody, were rude, sarcastic and unhelpful. We had to re-explain the issue to at least six different people because no one cared enough to follow up. It was like screaming into the void. Nobody took responsibility, and worse, they behaved like it was our fault for not doing a full bathroom inspection upon check-in. Seriously?
They never fixed the issue. In fact, they made it clear we had to check out by 12 sharp  so not only did they not resolve the problem, they ensured we had to live with it during our entire stay.
So thank you, Turmeric, for turning our wedding stay into a nightmare. Your ""Presidential Suite"" experience is one I'll be warning people about for years. Zero stars if I could.
P.s. we were not the first time customers, we almost booked 30+ rooms here in the last 6 months for the relatives since it's super close to our house",1,May-25,couple,1.0,1.0,2.0,google
"Extremely disappointed for how badly the hotel and services have gone down. The room was not properly cleaned while we checked in, AC was not working, we had to shift our rooms twice, bathrooms were not clean, their breakfast spread use to be good but now it has terribly gone down in quality. I would never ever recommend this place to anyone.",1,May-25,,1.0,1.0,1.0,google
